valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon
2009-04-03 21:15:00+00:00,T,C560,BUR UUA /OV BUR /TM 2115 /FL085 /TP C560 /TB SEV,SEV,ZLA,8500,34.20067,-118.35867
2009-04-06 20:54:00+00:00,T,C172,FUL UUA /OV BUR135020 /TM 2054 /FL020 /TP C172 /TB MOD-SEV,MOD-SEV,ZLA,2000,33.9649486477023,-118.07366363792802
2009-10-28 21:57:00+00:00,T,C525,BUR UUA /OV BUR090003 /TM 2157 /FL110 /TP C525 /TB CONT MOD OCNL SEV,CONT MOD OCNL SEV,ZLA,11000,34.20067,-118.29821102060929
2009-10-29 01:10:00+00:00,T,CH7B,BUR UUA /OV BUR /TM 0110 /FL040 /TP CH7B /TB SEV 040-050 /RM DURC,SEV 040-050,ZLA,4000,34.20067,-118.35867
2009-11-24 03:16:00+00:00,T,BE20,BUR UUA /OV BUR360014/TM 0316/FL060/TP BE20/TB SEV/RM SEV TURB BTW060-080,SEV,ZLA,6000,34.43402223335224,-118.35867
2009-12-22 19:06:00+00:00,T,BE99,BUR UUA /OV WHP/TM 1906/FL040/TP BE99/TB SEV/RM ZLA CWSU,SEV,ZLA,4000,34.25933,-118.41343
2009-12-22 19:07:00+00:00,T,BE99,WHP UUA /OV BUR325003 /TM 1907 /FL040 /TP BE99 /TB SEV,SEV,ZLA,4000,34.241630919783546,-118.39334784594436
2010-02-16 21:15:00+00:00,T,C172,BUR UUA /OV VNY120005 /TM 2115 /FL030 /TP C172 /TB SEV,SEV,ZLA,3000,34.16804995832995,-118.40189561020458
2010-05-01 07:01:00+00:00,T,BE99,VNY UUA /OV BUR280010 /TM 0701 /FL030 /TP BE99 /TB MOD-SEV 030-035 /RM BUR TWR,MOD-SEV 030-035,ZLA,3000,34.22961370719723,-118.55713823881062
2010-05-01 21:20:00+00:00,T,BE23,BUR UUA /OV VNY135005 /TM 2120 /FL095 /TP BE23 /TB MOD SEV,MOD SEV,ZLA,9500,34.15078966192557,-118.41791075912948
2010-05-01 21:37:00+00:00,T,BE23,BUR UUA /OV VNY135005 /TM 2137 /FL095 /TP BE23 /TB MOD SEV,MOD SEV,ZLA,9500,34.15078966192557,-118.41791075912948
2010-11-11 22:29:00+00:00,T,PA46,BUR UUA /OV LAX018015 /TM 2229 /FL090 /TP PA46 /TB MOD-SEV 090-080 /RM OVR DARTS INTXN DURD,MOD-SEV 090-080,ZLA,9000,34.17594338798751,-118.29340473211236
2011-01-15 04:24:00+00:00,T,CL60,WHP UUA /OV BUR360006 /TM 0424 /FL070 /TP CL60 /TB SEV /RM 070-060 SEV TB,SEV,ZLA,7000,34.3006781000081,-118.35867
2011-01-26 20:26:00+00:00,T,E120,WHP UUA /OV BUR360007 /TM 2026 /FL070 /TP E120 /TB SEV,SEV,ZLA,7000,34.31734611667612,-118.35867
2011-02-02 15:42:00+00:00,T,B737,VNY UUA /OV BUR270006 /TM 1542 /FL030 /TP B737 /TB MOD-SEV,MOD-SEV,ZLA,3000,34.20067,-118.47958795878144
2011-02-02 16:47:00+00:00,T,CRJ9,WHP UUA /OV BUR310003 /TM 1647 /FL050 /TP CRJ9 /TB MOD-SEV,MOD-SEV,ZLA,5000,34.23281198377675,-118.4049842651989
2011-02-19 03:13:00+00:00,T,B732,BUR UUA /OV BUR /TM 0313 /FL005 /TP B732 /TB SEV /RM LLWS -20KT +4 KT,SEV,ZLA,500,34.20067,-118.35867
2011-02-19 03:13:00+00:00,T,B732,BUR UUA /OV BUR /TM 0313 /FL005 /TP B732 /TB SEV /RM LLWS -20KT +40KT,SEV,ZLA,500,34.20067,-118.35867
